
???? INICIANDO SIMULA????O HFT INSTITUCIONAL...
-------------------------------------------
??? Configura????es do Rob?? carreadas.
???? Buscando 500 velas de M15 (GOLD)...
???? Dados obtidos: 500 velas.
???? Processando sinais Institucionais...

???? Per??odo: 23/03 a 25/03 (3 Dias Acumulados)

[24/03/2026, 15:15:00] [WIN] Trade #347 | Lote: 0.02 | P&L: +$34.22 | Saldo: $5538.05 ???
[24/03/2026, 15:30:00] [LOSS] Trade #156 | Lote: 0.03 | P&L: $-28.34 | Saldo: $5509.71 ???
[24/03/2026, 15:45:00] [WIN] Trade #349 | Lote: 0.01 | P&L: +$21.73 | Saldo: $5531.44 ???
[24/03/2026, 16:00:00] [WIN] Trade #350 | Lote: 0.01 | P&L: +$11.93 | Saldo: $5543.37 ???
[24/03/2026, 16:15:00] [LOSS] Trade #159 | Lote: 0.01 | P&L: $-7.00 | Saldo: $5536.37 ???
[24/03/2026, 16:30:00] [WIN] Trade #352 | Lote: 0.01 | P&L: +$15.88 | Saldo: $5552.25 ???
[24/03/2026, 16:45:00] [WIN] Trade #353 | Lote: 0.01 | P&L: +$8.98 | Saldo: $5561.23 ???
[24/03/2026, 17:00:00] [WIN] Trade #354 | Lote: 0.01 | P&L: +$38.13 | Saldo: $5599.36 ???
[24/03/2026, 17:15:00] [WIN] Trade #355 | Lote: 0.01 | P&L: +$11.72 | Saldo: $5611.08 ???
[24/03/2026, 17:30:00] [WIN] Trade #356 | Lote: 0.02 | P&L: +$49.90 | Saldo: $5660.98 ???
[24/03/2026, 17:45:00] [WIN] Trade #357 | Lote: 0.02 | P&L: +$44.26 | Saldo: $5705.24 ???
[24/03/2026, 18:00:00] [WIN] Trade #358 | Lote: 0.03 | P&L: +$29.82 | Saldo: $5735.06 ???
[24/03/2026, 18:15:00] [WIN] Trade #359 | Lote: 0.03 | P&L: +$67.92 | Saldo: $5802.98 ???
[24/03/2026, 18:30:00] [WIN] Trade #360 | Lote: 0.03 | P&L: +$85.65 | Saldo: $5888.63 ???
[24/03/2026, 18:45:00] [WIN] Trade #361 | Lote: 0.03 | P&L: +$51.99 | Saldo: $5940.62 ???
[24/03/2026, 19:00:00] [WIN] Trade #362 | Lote: 0.03 | P&L: +$51.90 | Saldo: $5992.52 ???
[24/03/2026, 19:15:00] [WIN] Trade #363 | Lote: 0.03 | P&L: +$33.84 | Saldo: $6026.36 ???
[24/03/2026, 19:30:00] [WIN] Trade #364 | Lote: 0.03 | P&L: +$37.02 | Saldo: $6063.38 ???
[24/03/2026, 19:45:00] [WIN] Trade #365 | Lote: 0.03 | P&L: +$23.61 | Saldo: $6086.99 ???
[24/03/2026, 20:00:00] [WIN] Trade #366 | Lote: 0.03 | P&L: +$20.73 | Saldo: $6107.72 ???
[24/03/2026, 20:15:00] [LOSS] Trade #175 | Lote: 0.03 | P&L: $-127.66 | Saldo: $5980.05 ???
[24/03/2026, 20:30:00] [LOSS] Trade #176 | Lote: 0.01 | P&L: $-12.50 | Saldo: $5967.55 ???
[24/03/2026, 20:45:00] [WIN] Trade #369 | Lote: 0.01 | P&L: +$26.54 | Saldo: $5994.09 ???
[24/03/2026, 22:00:00] [LOSS] Trade #178 | Lote: 0.01 | P&L: $-8.68 | Saldo: $5985.40 ???
[24/03/2026, 22:15:00] [WIN] Trade #371 | Lote: 0.01 | P&L: +$16.67 | Saldo: $6002.07 ???
[24/03/2026, 22:30:00] [LOSS] Trade #180 | Lote: 0.01 | P&L: $-7.67 | Saldo: $5994.40 ???
[24/03/2026, 22:45:00] [WIN] Trade #373 | Lote: 0.01 | P&L: +$17.68 | Saldo: $6012.08 ???
[24/03/2026, 23:00:00] [WIN] Trade #374 | Lote: 0.01 | P&L: +$12.49 | Saldo: $6024.57 ???
[24/03/2026, 23:15:00] [WIN] Trade #375 | Lote: 0.01 | P&L: +$27.03 | Saldo: $6051.60 ???
[24/03/2026, 23:30:00] [LOSS] Trade #184 | Lote: 0.01 | P&L: $-20.88 | Saldo: $6030.73 ???
[24/03/2026, 23:45:00] [WIN] Trade #377 | Lote: 0.01 | P&L: +$19.30 | Saldo: $6050.03 ???
