
???? INICIANDO SIMULA????O HFT INSTITUCIONAL...
-------------------------------------------
??? Configura????es do Rob?? carreadas.
???? Buscando 500 velas de M15 (GOLD)...
???? Dados obtidos: 500 velas.
???? Processando sinais Institucionais...

???? Per??odo: 23/03 a 25/03 (3 Dias Acumulados)

[25/03/2026, 03:45:00] [WIN] Trade #393 | Lote: 0.03 | P&L: +$19.11 | Saldo: $4444.18 ???
[25/03/2026, 04:00:00] [WIN] Trade #394 | Lote: 0.03 | P&L: +$25.89 | Saldo: $4470.07 ???
[25/03/2026, 04:15:00] [WIN] Trade #395 | Lote: 0.03 | P&L: +$10.59 | Saldo: $4480.66 ???
[25/03/2026, 04:30:00] [WIN] Trade #396 | Lote: 0.03 | P&L: +$24.36 | Saldo: $4505.02 ???
[25/03/2026, 04:45:00] [LOSS] Trade #205 | Lote: 0.03 | P&L: $-8.78 | Saldo: $4496.25 ???
[25/03/2026, 05:00:00] [WIN] Trade #398 | Lote: 0.01 | P&L: +$6.59 | Saldo: $4502.84 ???
[25/03/2026, 05:15:00] [LOSS] Trade #207 | Lote: 0.01 | P&L: $-8.90 | Saldo: $4493.94 ???
[25/03/2026, 05:30:00] [WIN] Trade #400 | Lote: 0.01 | P&L: +$17.44 | Saldo: $4511.38 ???
[25/03/2026, 05:45:00] [WIN] Trade #401 | Lote: 0.01 | P&L: +$13.32 | Saldo: $4524.70 ???
[25/03/2026, 06:00:00] [WIN] Trade #402 | Lote: 0.01 | P&L: +$23.95 | Saldo: $4548.65 ???
[25/03/2026, 06:15:00] [WIN] Trade #403 | Lote: 0.01 | P&L: +$18.17 | Saldo: $4566.82 ???
[25/03/2026, 06:30:00] [LOSS] Trade #212 | Lote: 0.02 | P&L: $-12.68 | Saldo: $4554.14 ???
