================================================================================
  WOLF BOT — RELATORIO DE BACKTEST
  Estrategia: SMC + Wyckoff + FVG 50% + Scale-Out + BE+Custos
  Data: 2026-06-08 23:01
================================================================================

============================= PARAMETROS DO TESTE ==============================
  Simbolo:           EURUSD
  Timeframe:         1h
  Capital Inicial:   $10000.00
  Volume Fixo:       0.1 lots
  Swing Period:      5
  Min R:R:           2.0
  BE Padding:        20 pips
  Comissao:          $3.0/lot
  Alavancagem:       1:100

============================ RESUMO DE PERFORMANCE =============================
  Total Trades:      450 (parciais: 0)
  Trades Principais: 450
  Wins:              146
  Losses:            304
  Win Rate:          32.4%
  Lucro Total:       $1043.22
  Retorno:           10.43%
  Profit Factor:     2.96
  Avg Win:           $10.78
  Avg Loss:          $1.75
  Max Drawdown:      0.88%
  DD Value:          $90.73
  Sharpe Ratio:      4.38
  Saldo Final:       $11012.32

========================== DISTRIBUICAO DE RESULTADOS ==========================
  Maior Win:         $65.28
  Maior Loss:        $-13.09
  Media PnL:         $2.32
  Mediana PnL:       $-0.69
  Desvio Padrao:     $8.40
  Trades Positivos:  146
  Trades Negativos:  304

============================== ANALISE BE+CUSTOS ===============================
  Total BE+Custos:   42 acionamentos
  PnL Apos BE:       $284.19

=============================== CURVA DE EQUITY ================================
  Equity Inicial:    $10000.00
  Equity Final:      $11012.43
  Pico Maximo:       $11021.87
  Vale Minimo:       $9963.08
  Drawdown Medio:    0.18%

=============================== TABELA DE TRADES ===============================
    # Acao    Entrada      Saida  Volume        PnL Result Parcial  Conf
  ------------------------------------------------------------------------
  186  BUY       1.16       1.16    0.04      -1.79   LOSS             B
  187  BUY       1.16       1.16    0.06      -0.16   LOSS             B
  188  BUY       1.16       1.16    0.04      -0.11   LOSS             B
  189  BUY       1.16       1.17    0.06      19.56    WIN             B
  190  BUY       1.16       1.16    0.04       8.00    WIN             B
  191  BUY       1.16       1.17    0.06      17.16    WIN             B
  192  BUY       1.16       1.17    0.04      13.92    WIN             B
  193 SELL       1.17       1.17    0.02      -1.38   LOSS             C
  194 SELL       1.17       1.17    0.01      -0.69   LOSS             C
  195 SELL       1.17       1.17    0.02      -0.99   LOSS             C
  196 SELL       1.17       1.17    0.01      -0.49   LOSS             C
  197 SELL       1.18       1.18    0.02      -1.30   LOSS             C
  198 SELL       1.18       1.18    0.01      -0.65   LOSS             C
  199 SELL       1.18       1.18    0.02      -1.05   LOSS             C
  200 SELL       1.18       1.18    0.01      -0.52   LOSS             C
  201  BUY       1.17       1.18    0.06      15.48    WIN             B
  202  BUY       1.17       1.18    0.04      14.79    WIN             B
  203 SELL       1.18       1.18    0.02      -1.18   LOSS             C
  204 SELL       1.18       1.18    0.01      -0.59   LOSS             C
  205 SELL       1.18       1.17    0.02      11.94    WIN             C
  206 SELL       1.18       1.17    0.01       6.35    WIN             C
  207  BUY       1.17       1.17    0.02      -3.68   LOSS             C
  208  BUY       1.17       1.17    0.01      -1.84   LOSS             C
  209  BUY       1.17       1.17    0.02      -0.78   LOSS             C
  210  BUY       1.17       1.17    0.01      -0.39   LOSS             C
  211 SELL       1.17       1.17    0.06       2.94    WIN             B
  212 SELL       1.17       1.17    0.04       8.00    WIN             B
  213  BUY       1.17       1.17    0.02       3.02    WIN             C
  214  BUY       1.17       1.17    0.01       2.00    WIN             C
  215  BUY       1.17       1.17    0.02       5.54    WIN             C
  216  BUY       1.17       1.17    0.01       2.00    WIN             C
  217  BUY       1.17       1.17    0.02       4.40    WIN             C
  218  BUY       1.17       1.17    0.01       3.10    WIN             C
  219  BUY       1.17       1.17    0.02       4.40    WIN             C
  220  BUY       1.17       1.18    0.01       4.21    WIN             C
  221  BUY       1.17       1.17    0.02       4.40    WIN             C
  222  BUY       1.17       1.18    0.01       5.47    WIN             C
  223 SELL       1.18       1.18    0.02      -1.09   LOSS             C
  224 SELL       1.18       1.18    0.01      -0.54   LOSS             C
  225 SELL       1.18       1.18    0.02      -0.87   LOSS             C
  226 SELL       1.18       1.18    0.01      -0.43   LOSS             C
  227 SELL       1.18       1.18    0.02       8.84    WIN             C
  228 SELL       1.18       1.18    0.01       4.68    WIN             C
  229  BUY       1.18       1.18    0.06      18.72    WIN             B
  230  BUY       1.18       1.18    0.04       8.00    WIN             B
  231 SELL       1.18       1.18    0.02       4.56    WIN             C
  232 SELL       1.18       1.18    0.01       2.00    WIN             C
  233  BUY       1.18       1.17    0.02      -1.96   LOSS             C
  234  BUY       1.18       1.17    0.01      -0.98   LOSS             C
  235  BUY       1.18       1.17    0.02      -2.27   LOSS             C
  236  BUY       1.18       1.17    0.01      -1.13   LOSS             C
  237 SELL       1.17       1.18    0.06     -13.09   LOSS             B
  238 SELL       1.17       1.18    0.04      -8.73   LOSS             B
  239  BUY       1.17       1.17    0.02      -0.53   LOSS             C
  240  BUY       1.17       1.17    0.01      -0.27   LOSS             C
  241  BUY       1.17       1.17    0.06      -4.30   LOSS             B
  242  BUY       1.17       1.17    0.04      -2.87   LOSS             B
  243  BUY       1.17       1.17    0.02      -1.19   LOSS             C
  244  BUY       1.17       1.17    0.01      -0.60   LOSS             C
  245  BUY       1.17       1.17    0.02       7.20    WIN             C
  246  BUY       1.17       1.17    0.01       7.54    WIN             C
  247  BUY       1.17       1.17    0.06       8.64    WIN             B
  248  BUY       1.17       1.17    0.04      11.14    WIN             B
  249 SELL       1.17       1.17    0.06       6.00    WIN             B
  250 SELL       1.17       1.17    0.04      12.52    WIN             B
  251  BUY       1.17       1.17    0.02      -2.31   LOSS             C
  252  BUY       1.17       1.17    0.01      -1.16   LOSS             C
  253  BUY       1.17       1.17    0.02      -2.79   LOSS             C
  254  BUY       1.17       1.17    0.01      -1.39   LOSS             C
  255  BUY       1.17       1.17    0.02      -0.78   LOSS             C
  256  BUY       1.17       1.17    0.01      -0.39   LOSS             C
  257  BUY       1.16       1.16    0.02      -1.00   LOSS             C
  258  BUY       1.16       1.16    0.01      -0.50   LOSS             C
  259  BUY       1.16       1.16    0.02      -0.83   LOSS             C
  260  BUY       1.16       1.16    0.01      -0.42   LOSS             C
  261  BUY       1.16       1.16    0.02      -0.95   LOSS             C
  262  BUY       1.16       1.16    0.01      -0.48   LOSS             C
  263  BUY       1.16       1.17    0.02       8.88    WIN             C
  264  BUY       1.16       1.17    0.01       4.73    WIN             C
  265 SELL       1.17       1.17    0.02      -2.50   LOSS             C
  266 SELL       1.17       1.17    0.01      -1.25   LOSS             C
  267 SELL       1.17       1.16    0.02      15.16    WIN             C
  268 SELL       1.17       1.16    0.01       7.81    WIN             C
  269  BUY       1.16       1.16    0.02      -1.01   LOSS             C
  270  BUY       1.16       1.16    0.01      -0.50   LOSS             C
  271 SELL       1.16       1.16    0.02       1.34    WIN             C
  272 SELL       1.16       1.16    0.01       2.00    WIN             C
  273  BUY       1.16       1.16    0.06      -3.12   LOSS             B
  274  BUY       1.16       1.16    0.04      -2.08   LOSS             B
  275 SELL       1.16       1.16    0.02      -2.61   LOSS             C
  276 SELL       1.16       1.16    0.01      -1.30   LOSS             C
  277 SELL       1.17       1.17    0.02      -1.53   LOSS             C
  278 SELL       1.17       1.17    0.01      -0.76   LOSS             C
  279 SELL       1.17       1.18    0.02      -1.45   LOSS             C
  280 SELL       1.17       1.18    0.01      -0.73   LOSS             C
  281 SELL       1.18       1.18    0.02      -1.76   LOSS             C
  282 SELL       1.18       1.18    0.01      -0.88   LOSS             C
  283 SELL       1.19       1.19    0.02      -2.18   LOSS             C
  284 SELL       1.19       1.19    0.01      -1.09   LOSS             C
  285 SELL       1.19       1.19    0.06      -5.16   LOSS             A
  286 SELL       1.19       1.19    0.04      -3.44   LOSS             A
  287 SELL       1.20       1.20    0.06      -6.18   LOSS             A
